fixture_id,window_5min,mean_pressure,max_pressure,high_intensity_count
11867556,-30,0.0,0.0,0
11867556,-25,0.0,0.0,0
11867556,-20,0.0,0.0,0
11867556,-15,0.0,0.0,0
11867556,-10,0.0,0.0,0
11867556,-5,0.0,0.0,0
11867556,0,0.0,0.0,0
11867556,5,0.0,0.0,0
11867556,10,0.0,0.0,0
11867556,15,0.0,0.0,0
11867556,20,0.0,0.0,0
11867556,25,0.0,0.0,0
11867556,30,2.0,1.0,0
11867556,35,0.0,0.0,0
11867556,40,0.0,0.0,0
11867556,45,0.6,0.3,0
11867556,50,0.0,0.0,0
11867556,55,0.0,0.0,0
11867556,60,0.3,0.3,0
11867556,65,0.3,0.3,0
11867556,70,0.0,0.0,0
11867556,75,0.3,0.3,0
11867556,80,0.0,0.0,0
11867556,85,2.0,1.0,0
11867556,90,0.3,0.3,0
11867556,95,1.0,1.0,0
11867556,100,0.0,0.0,0
11867556,105,0.0,0.0,0
11867556,110,0.0,0.0,0
11867556,115,0.0,0.0,0
11867556,120,0.0,0.0,0
11867558,-30,0.0,0.0,0
11867558,-25,0.0,0.0,0
11867558,-20,0.0,0.0,0
11867558,-15,0.0,0.0,0
11867558,-10,0.0,0.0,0
11867558,-5,0.0,0.0,0
11867558,0,0.0,0.0,0
11867558,5,0.0,0.0,0
11867558,10,0.0,0.0,0
11867558,15,0.0,0.0,0
11867558,20,0.0,0.0,0
11867558,25,2.5,2.5,1
11867558,30,0.0,0.0,0
11867558,35,0.0,0.0,0
11867558,40,1.0,1.0,0
11867558,45,1.0,1.0,0
11867558,50,4.0,3.0,1
11867558,55,3.9,3.0,1
11867558,60,0.0,0.0,0
11867558,65,0.6,0.3,0
11867558,70,0.3,0.3,0
11867558,75,0.6,0.3,0
11867558,80,1.3,1.0,0
11867558,85,1.0,1.0,0
11867558,90,0.0,0.0,0
11867558,95,0.0,0.0,0
11867558,100,0.0,0.0,0
11867558,105,0.0,0.0,0
11867558,110,0.0,0.0,0
11867558,115,0.0,0.0,0
11867558,120,0.0,0.0,0
11867561,-30,0.0,0.0,0
11867561,-25,0.0,0.0,0
11867561,-20,0.0,0.0,0
11867561,-15,0.0,0.0,0
11867561,-10,0.0,0.0,0
11867561,-5,0.0,0.0,0
11867561,0,0.0,0.0,0
11867561,5,0.0,0.0,0
11867561,10,1.0,1.0,0
11867561,15,0.0,0.0,0
11867561,20,0.0,0.0,0
11867561,25,2.0,2.0,1
11867561,30,4.0,3.0,1
11867561,35,0.0,0.0,0
11867561,40,3.3,3.0,1
11867561,45,2.3,1.0,0
11867561,50,0.0,0.0,0
11867561,55,0.0,0.0,0
11867561,60,1.0,1.0,0
11867561,65,0.6,0.3,0
11867561,70,0.6,0.3,0
11867561,75,0.0,0.0,0
11867561,80,0.0,0.0,0
11867561,85,0.3,0.3,0
11867561,90,1.0,1.0,0
11867561,95,0.0,0.0,0
11867561,100,0.0,0.0,0
11867561,105,0.0,0.0,0
11867561,110,0.0,0.0,0
11867561,115,0.0,0.0,0
11867561,120,0.0,0.0,0
11867566,-30,0.0,0.0,0
11867566,-25,0.0,0.0,0
11867566,-20,0.0,0.0,0
11867566,-15,0.0,0.0,0
11867566,-10,0.0,0.0,0
11867566,-5,0.0,0.0,0
11867566,0,0.0,0.0,0
11867566,5,0.0,0.0,0
11867566,10,0.0,0.0,0
11867566,15,0.3,0.3,0
11867566,20,3.0,3.0,1
11867566,25,0.0,0.0,0
11867566,30,1.0,1.0,0
11867566,35,0.0,0.0,0
11867566,40,0.3,0.3,0
11867566,45,0.8999999999999999,0.3,0
11867566,50,0.0,0.0,0
11867566,55,0.0,0.0,0
11867566,60,1.0,1.0,0
11867566,65,8.0,3.0,3
11867566,70,0.3,0.3,0
11867566,75,0.0,0.0,0
11867566,80,3.3,3.0,1
11867566,85,4.0,3.0,1
11867566,90,0.3,0.3,0
11867566,95,0.0,0.0,0
11867566,100,0.0,0.0,0
11867566,105,0.0,0.0,0
11867566,110,0.0,0.0,0
11867566,115,0.0,0.0,0
11867566,120,0.0,0.0,0
11867567,-30,0.0,0.0,0
11867567,-25,0.0,0.0,0
11867567,-20,0.0,0.0,0
11867567,-15,0.0,0.0,0
11867567,-10,0.0,0.0,0
11867567,-5,0.0,0.0,0
11867567,0,0.0,0.0,0
11867567,5,0.0,0.0,0
11867567,10,0.0,0.0,0
11867567,15,0.0,0.0,0
11867567,20,0.0,0.0,0
11867567,25,3.0,1.0,0
11867567,30,0.0,0.0,0
11867567,35,0.3,0.3,0
11867567,40,0.0,0.0,0
11867567,45,3.3,3.0,1
11867567,50,1.0,1.0,0
11867567,55,3.0,3.0,1
11867567,60,0.0,0.0,0
11867567,65,1.6,1.0,0
11867567,70,0.0,0.0,0
11867567,75,0.3,0.3,0
11867567,80,0.6,0.3,0
11867567,85,0.3,0.3,0
11867567,90,1.0,1.0,0
11867567,95,2.5,2.5,1
11867567,100,0.0,0.0,0
11867567,105,0.0,0.0,0
11867567,110,0.0,0.0,0
11867567,115,0.0,0.0,0
11867567,120,0.0,0.0,0
11867568,-30,0.0,0.0,0
11867568,-25,0.0,0.0,0
11867568,-20,0.0,0.0,0
11867568,-15,0.0,0.0,0
11867568,-10,0.0,0.0,0
11867568,-5,0.0,0.0,0
11867568,0,0.0,0.0,0
11867568,5,0.0,0.0,0
11867568,10,0.0,0.0,0
11867568,15,0.0,0.0,0
11867568,20,3.0,3.0,1
11867568,25,0.0,0.0,0
11867568,30,0.0,0.0,0
11867568,35,0.0,0.0,0
11867568,40,3.0,3.0,1
11867568,45,0.0,0.0,0
11867568,50,3.0,3.0,1
11867568,55,3.9,3.0,1
11867568,60,0.8999999999999999,0.3,0
11867568,65,0.0,0.0,0
11867568,70,0.8999999999999999,0.3,0
11867568,75,0.3,0.3,0
11867568,80,4.0,3.0,1
11867568,85,0.0,0.0,0
11867568,90,0.0,0.0,0
11867568,95,0.0,0.0,0
11867568,100,0.0,0.0,0
11867568,105,0.0,0.0,0
11867568,110,0.0,0.0,0
11867568,115,0.0,0.0,0
11867568,120,0.0,0.0,0
11867569,-30,0.0,0.0,0
11867569,-25,0.0,0.0,0
11867569,-20,0.0,0.0,0
11867569,-15,0.0,0.0,0
11867569,-10,0.0,0.0,0
11867569,-5,0.0,0.0,0
11867569,0,0.0,0.0,0
11867569,5,0.0,0.0,0
11867569,10,0.0,0.0,0
11867569,15,0.0,0.0,0
11867569,20,0.0,0.0,0
11867569,25,0.0,0.0,0
11867569,30,3.0,3.0,1
11867569,35,0.0,0.0,0
11867569,40,0.0,0.0,0
11867569,45,0.0,0.0,0
11867569,50,0.0,0.0,0
11867569,55,0.0,0.0,0
11867569,60,0.0,0.0,0
11867569,65,4.2,3.0,1
11867569,70,0.0,0.0,0
11867569,75,0.0,0.0,0
11867569,80,1.3,1.0,0
11867569,85,2.0,1.0,0
11867569,90,0.0,0.0,0
11867569,95,0.0,0.0,0
11867569,100,0.0,0.0,0
11867569,105,0.0,0.0,0
11867569,110,0.0,0.0,0
11867569,115,0.0,0.0,0
11867569,120,0.0,0.0,0
11867570,-30,0.0,0.0,0
11867570,-25,0.0,0.0,0
11867570,-20,0.0,0.0,0
11867570,-15,0.0,0.0,0
11867570,-10,0.0,0.0,0
11867570,-5,0.0,0.0,0
11867570,0,0.0,0.0,0
11867570,5,0.0,0.0,0
11867570,10,3.0,3.0,1
11867570,15,0.0,0.0,0
11867570,20,6.0,3.0,2
11867570,25,0.0,0.0,0
11867570,30,0.0,0.0,0
11867570,35,0.0,0.0,0
11867570,40,1.0,1.0,0
11867570,45,0.0,0.0,0
11867570,50,1.0,1.0,0
11867570,55,1.0,1.0,0
11867570,60,0.6,0.3,0
11867570,65,0.3,0.3,0
11867570,70,0.0,0.0,0
11867570,75,0.3,0.3,0
11867570,80,0.6,0.3,0
11867570,85,1.3,1.0,0
11867570,90,0.0,0.0,0
11867570,95,3.0,3.0,1
11867570,100,0.0,0.0,0
11867570,105,0.0,0.0,0
11867570,110,0.0,0.0,0
11867570,115,0.0,0.0,0
11867570,120,0.0,0.0,0
11867571,-30,0.0,0.0,0
11867571,-25,0.0,0.0,0
11867571,-20,0.0,0.0,0
11867571,-15,0.0,0.0,0
11867571,-10,0.0,0.0,0
11867571,-5,0.0,0.0,0
11867571,0,0.0,0.0,0
11867571,5,0.0,0.0,0
11867571,10,3.0,3.0,1
11867571,15,0.0,0.0,0
11867571,20,0.0,0.0,0
11867571,25,0.0,0.0,0
11867571,30,1.0,1.0,0
11867571,35,0.0,0.0,0
11867571,40,0.0,0.0,0
11867571,45,3.0,3.0,1
11867571,50,3.0,3.0,1
11867571,55,0.0,0.0,0
11867571,60,0.0,0.0,0
11867571,65,0.6,0.3,0
11867571,70,3.6,3.0,1
11867571,75,0.8999999999999999,0.3,0
11867571,80,0.6,0.3,0
11867571,85,0.3,0.3,0
11867571,90,0.0,0.0,0
11867571,95,0.0,0.0,0
11867571,100,0.0,0.0,0
11867571,105,0.0,0.0,0
11867571,110,0.0,0.0,0
11867571,115,0.0,0.0,0
11867571,120,0.0,0.0,0
11867572,-30,0.0,0.0,0
11867572,-25,0.0,0.0,0
11867572,-20,0.0,0.0,0
11867572,-15,0.0,0.0,0
11867572,-10,0.0,0.0,0
11867572,-5,0.0,0.0,0
11867572,0,1.0,1.0,0
11867572,5,0.0,0.0,0
11867572,10,0.0,0.0,0
11867572,15,3.0,3.0,1
11867572,20,0.0,0.0,0
11867572,25,0.0,0.0,0
11867572,30,3.0,3.0,1
11867572,35,0.0,0.0,0
11867572,40,0.0,0.0,0
11867572,45,0.6,0.3,0
11867572,50,0.0,0.0,0
11867572,55,0.0,0.0,0
11867572,60,0.6,0.3,0
11867572,65,0.6,0.3,0
11867572,70,0.0,0.0,0
11867572,75,3.5999999999999996,3.0,1
11867572,80,0.0,0.0,0
11867572,85,0.0,0.0,0
11867572,90,0.0,0.0,0
