fixture_id,match,total_windows,safe_windows,risky_windows,no_ad_windows,mean_receptivity,best_receptivity,pct_safe
11867556,AFC Bournemouth vs Tottenham Hotspur,2,2,0,0,0.8356141984801401,0.8704841732978821,100.0
11867561,Everton vs Southampton,5,5,0,0,0.847880320567141,0.8738425612449646,100.0
11867566,AFC Bournemouth vs Leicester City,3,3,0,0,0.8355357090632122,0.8367178916931153,100.0
11867569,Liverpool vs Burnley,1,1,0,0,0.8550089949653262,0.8550089949653262,100.0
11867572,Sheffield United vs Chelsea,7,5,2,0,0.7677717607346243,0.8457616329193115,71.4
11867573,Tottenham Hotspur vs Arsenal,3,1,2,0,0.6946618803902428,0.8314158394476947,33.3
11867575,Wolverhampton Wanderers vs Everton,2,2,0,0,0.8173585124841175,0.8280989818980417,100.0
11867577,Burnley vs Wolverhampton Wanderers,29,25,4,0,0.807919452175168,0.8719095826148987,86.2
11867578,Chelsea vs Norwich City,29,27,2,0,0.8234409845470332,0.8712881684303284,93.1
11867579,Crystal Palace vs Manchester United,11,9,2,0,0.7895263061055169,0.8448913824248623,81.8
11867580,Everton vs Aston Villa,13,9,4,0,0.7585020295300239,0.8453464066432073,69.2
11867581,Leicester City vs Sheffield United,1,1,0,0,0.8251899558486361,0.8251899558486361,100.0
11867582,Manchester City vs AFC Bournemouth,29,22,7,0,0.7940617602878507,0.8737341046333313,75.9
11867584,Southampton vs Brighton & Hove Albion,29,25,4,0,0.8257031456562486,0.8739073872566223,86.2
11867586,AFC Bournemouth vs Southampton,29,22,7,0,0.7951210593739715,0.8727478861808777,75.9
11867589,Liverpool vs Chelsea,29,16,13,0,0.7468253135565962,0.8638699955410427,55.2
11867591,Norwich City vs Burnley,29,21,8,0,0.7805118783299686,0.8716268420219422,72.4
11867592,Sheffield United vs Everton,9,9,0,0,0.8371201840642086,0.8463598824501037,100.0
11867595,Wolverhampton Wanderers vs Crystal Palace,5,5,0,0,0.7969893043912899,0.8239820704272844,100.0
11867597,Burnley vs Brighton & Hove Albion,26,20,6,0,0.80546801167942,0.8730438423156739,76.9
11867598,Chelsea vs Wolverhampton Wanderers,8,8,0,0,0.8526333986923692,0.8617314145565033,100.0
11867599,Crystal Palace vs Tottenham Hotspur,1,1,0,0,0.8420634518409598,0.8420634518409598,100.0
11867600,Everton vs AFC Bournemouth,28,21,7,0,0.7878123677570094,0.8745132446289062,75.0
11867604,Southampton vs Sheffield United,26,19,7,0,0.7945369104548266,0.8741432547569274,73.1
16924597,Crystal Palace vs Southampton,30,27,3,0,0.8148782538762533,0.8635829786459605,90.0
16924601,West Bromwich Albion vs Leicester City,8,5,3,0,0.7515664032098198,0.8355624658720834,62.5
16924603,Brighton & Hove Albion vs Chelsea,29,22,7,0,0.7796635137759558,0.8504347038269042,75.9
16924607,Chelsea vs Liverpool,29,24,5,0,0.7972453003095975,0.8696741729974746,82.8
16924610,Leicester City vs Burnley,29,18,11,0,0.7579838439416453,0.8731480062007904,62.1
16924613,Southampton vs Tottenham Hotspur,29,17,12,0,0.7510133052471769,0.8734998106956482,58.6
16924614,Wolverhampton Wanderers vs Manchester City,9,5,4,0,0.7355724652566802,0.8344583363930385,55.6
16924616,Burnley vs Southampton,28,24,4,0,0.8078931711871746,0.8680150926113128,85.7
16924617,Crystal Palace vs Everton,19,15,4,0,0.7859976703752689,0.8558289647102356,78.9
16924620,Manchester City vs Leicester City,2,2,0,0,0.7871207230423221,0.8181671844192998,100.0
16924623,West Bromwich Albion vs Chelsea,29,19,10,0,0.7545934652188205,0.8663510322570801,65.5
16924626,Aston Villa vs Liverpool,4,0,4,0,0.5971513134929501,0.6194756462280024,0.0
16924627,Chelsea vs Crystal Palace,28,21,7,0,0.7848466222265146,0.8731596350669861,75.0
16924628,Everton vs Brighton & Hove Albion,11,4,7,0,0.6931316501940981,0.8343385342065026,36.4
16924629,Leeds United vs Manchester City,2,2,0,0,0.7928697321150038,0.8128734595245786,100.0
16924630,Leicester City vs West Ham United,14,12,2,0,0.7757480382226625,0.8535856423706843,85.7
16924632,Newcastle United vs Burnley,27,19,8,0,0.779443913594171,0.8659705204963684,70.4
16924633,Southampton vs West Bromwich Albion,23,20,3,0,0.8200898138186206,0.873707389831543,87.0
