fixture_id,window_5min,tweet_count,mean_arousal,mean_valence,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral,dominant_emotion,mean_pressure,max_pressure,high_intensity_count,recent_high_intensity,period_label,match,kickoff_utc,home_team,away_team,derby,home_goals_final,away_goals_final
11867566,-30.0,1,0.4082052707672119,0.1897397190332412,0.0448642671108245,0.0062451791018247,0.0076276464387774,0.0072527532465755,0.0302785262465477,0.0014089596224948,0.0011302840430289,0.0023422094527632,0.0017462763935327,0.0015333979390561,0.0011032673064619,0.0017820089124143,0.0006879487773403,0.1156291514635086,0.0011215464910492,0.0007547810091637,0.0004379837482701,0.0327000580728054,0.0054352111183106,0.0004010560514871,0.0018840761622413,0.0034882808104157,0.0028294578660279,0.0009314545313827,0.0002401803067186,0.0009243754320777,0.0037960784975439,0.7448239326477051,neutral,0.0,0.0,0,0,pre_match,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,AFC Bournemouth,Leicester City,0,4,1
11867577,-30.0,1,0.3225055932998657,0.0583237037062644,0.0056727793999016,0.0025792722590267,0.0010580139933153,0.0034512202255427,0.058952122926712,0.00107715674676,0.0018404556903988,0.004309338517487,0.0027480572462081,0.0018320882227271,0.0011938301613554,0.0013309948844835,0.0003617215552367,0.0079543571919202,0.0008154569077305,0.0003048538346774,0.0002519283734727,0.0022007799707353,0.0045014233328402,0.0002943169383797,0.0054203765466809,0.000423442950705,0.009500284679234,0.0003741735126823,0.0002417109790258,0.001058476162143,0.0017035696655511,0.9317417740821838,neutral,0.0,0.0,0,0,pre_match,Burnley vs Wolverhampton Wanderers,2020-07-15 17:00:00+00:00,Burnley,Wolverhampton Wanderers,0,1,1
11867578,-30.0,8,0.3358044251799583,0.01723027712432665,0.0025624038098612375,0.003543444669048725,0.0031707471644039625,0.009289144072681624,0.029833161039277863,0.006369199436448938,0.011389745923224786,0.013990002102218525,0.01706186724186405,0.0053169221209827255,0.02105579074122937,0.0022926068049855253,0.002146104699931975,0.004105470768990875,0.001445648420485625,0.00113835568845385,0.0007831970324331874,0.005077029862150037,0.0032522775072720373,0.0005822389503009,0.0055262716778087875,0.0009686290941317,0.011018218938261238,0.0014211918733053376,0.009620650555007089,0.004534676409093625,0.0023182563527370127,0.8889960497617722,neutral,0.0,0.0,0,0,pre_match,Chelsea vs Norwich City,2020-07-14 19:15:00+00:00,Chelsea,Norwich City,0,1,0
11867582,-30.0,2,0.43479253351688385,0.24946842715144155,0.0071429629460908,0.00248007063055405,0.00230581237701695,0.013747835997491999,0.0630714558064937,0.00482658355031155,0.00172544454107985,0.0031713704811409003,0.0900194025598466,0.00506965717067935,0.00493546511279415,0.0011271638213656001,0.00034476685686965,0.09755246667191385,0.00071933300932865,0.0014891945465932998,0.000306030808133,0.03708004311192775,0.01069259783253065,0.0005204116605454501,0.01561630214564495,0.00098762047127815,0.0063586062751709495,0.00123453658306965,0.00039473314245695,0.0019868115196004,0.0015714251931057501,0.5819620192050934,neutral,0.0,0.0,0,0,pre_match,Manchester City vs AFC Bournemouth,2020-07-15 17:00:00+00:00,Manchester City,AFC Bournemouth,0,2,1
11867584,-30.0,9,0.3437894980112712,0.0659915669303801,0.0015023451867616222,0.0025208985898643446,0.0018936115989668333,0.009524707087419032,0.042411273862752626,0.05793660471681498,0.0026381149008455887,0.002702552391888722,0.021671829861588707,0.015220248800081469,0.0061099559275639885,0.0019691271849700447,0.0011311104495284555,0.010271310327678055,0.002116838470101311,0.0013575725541967111,0.0017231183462879112,0.007510543542189678,0.002212822527831567,0.0024477774988756,0.01563305055929551,0.0005620921923157666,0.053858965997480635,0.0025452098375858445,0.003265512318143366,0.02958032439669798,0.0012973246630280442,0.7716051008966234,neutral,0.0,0.0,0,0,pre_match,Southampton vs Brighton & Hove Albion,2020-07-16 19:15:00+00:00,Southampton,Brighton & Hove Albion,0,1,1
11867586,-30.0,5,0.31813028454780573,0.014080529648344942,0.00350837591104202,0.0034137702547012995,0.00192492692731316,0.00550313163548702,0.014784357324242539,0.0008332874858751199,0.0027021470479666803,0.0022685987409204,0.00150554184801872,0.0035367498174309203,0.0025052992161362997,0.00230982757639136,0.00091153375105928,0.0054678130894899,0.00166989162098608,0.0010016861837357,0.00052909149089822,0.0035190964583307,0.0016207155538722402,0.00050607127486722,0.00217356251087034,0.00047426380915561994,0.00801440328359602,0.00049549641553306,0.00041714687249618,0.0027617279440164,0.00174399118404828,0.9611017942428589,neutral,0.0,0.0,0,0,pre_match,AFC Bournemouth vs Southampton,2020-07-19 13:00:00+00:00,AFC Bournemouth,Southampton,0,0,2
11867589,-30.0,3,0.39766520261764526,0.09299595281481739,0.012879279364521233,0.0013205057475715667,0.0010599941015243,0.0046292088227346,0.06216292673101023,0.0014341543816650331,0.02840657695196563,0.09911067108623678,0.0028431683313101335,0.0036983595928177,0.0035425981041043333,0.0010847322603997668,0.0006544635883376665,0.009985979568834067,0.0007897716520043333,0.0008172958720629999,0.00034472939538919995,0.0017576956888660667,0.0055978515495856,0.00033800951011163334,0.0088967915313939,0.00043552268713630563,0.012109211878851,0.0004507075209402666,0.0003347828799935666,0.0010015182585144335,0.085521060139096,0.7029692729314169,neutral,0.0,0.0,0,0,pre_match,Liverpool vs Chelsea,2020-07-22 19:15:00+00:00,Liverpool,Chelsea,0,5,3
11867591,-30.0,8,0.3640823662281036,0.20176846755202857,0.07883368349575898,0.002282625748193775,0.0019853074627462376,0.006261119997361638,0.05363776301965112,0.07198226152104319,0.002905942077632,0.0029242434684419623,0.005407256772741638,0.004832154489122287,0.005698348672012737,0.0017264341731788,0.0006814950611441875,0.0060784294182666876,0.0014137018843029625,0.008766299830313025,0.0005980700625513624,0.04956950549239986,0.004544352734228525,0.0006195892237883125,0.10690060054184863,0.00299530589472845,0.010213474131887713,0.0038237574917729623,0.0009351929184048749,0.002525894728023525,0.0011146351607748625,0.7223707102239132,neutral,0.0,0.0,0,0,pre_match,Norwich City vs Burnley,2020-07-18 16:30:00+00:00,Norwich City,Burnley,0,0,2
11867597,-30.0,6,0.42537983258565265,0.2549169692986955,0.004851769888773501,0.004792993655428234,0.0023634727889050165,0.0085503330143789,0.04032765546192723,0.0053627318508612,0.0028919270844198503,0.0055825729699183835,0.07786788620675598,0.0054787566380885165,0.03134978387970474,0.0014593766730588667,0.0006992312361641167,0.029455995478201602,0.0010689421809122834,0.0022712837186796664,0.0004502746936243666,0.10741504646527267,0.004134717261573866,0.0006378043035510167,0.1671445445778469,0.00111571395730905,0.0081612272964169,0.00249916742419975,0.0006212483567651,0.002166040862599967,0.0013106416833276,0.6105092093348502,neutral,0.0,0.0,0,0,pre_match,Burnley vs Brighton & Hove Albion,2020-07-26 15:00:00+00:00,Burnley,Brighton & Hove Albion,0,1,2
11867600,-30.0,1,0.3157232999801636,0.0263218451291322,0.0022449474781751,0.0015145138604566,0.0011634777765721,0.0040394989773631,0.0280906464904546,0.0011105937883257,0.0031480616889894,0.0029882779344916,0.0025785251054912,0.0023048401344567,0.0023469219449907,0.0010025057708844,0.0003202719963155,0.003744316054508,0.000797004380729,0.0006317960214801,0.0002644745109137,0.0019033862045034,0.001537354895845,0.0003226926783099,0.0058658975176513,0.0002735872985795,0.0080395927652716,0.0003517912409733,0.0002880146203096,0.0013663780409842,0.0009030805667862,0.9601823091506958,neutral,0.0,0.0,0,0,pre_match,Everton vs AFC Bournemouth,2020-07-26 15:00:00+00:00,Everton,AFC Bournemouth,0,1,3
