fixture_id,match,window_5min,period_label,receptivity_score,ad_label,dominant_emotion,mean_arousal,mean_valence,mean_pressure,tweet_count,high_intensity_count,recent_high_intensity
11867598,Chelsea vs Wolverhampton Wanderers,100.0,2nd_half,0.861206567287445,AD_SAFE,neutral,0.3469835817813873,0.12263348959386342,0.0,10,0,0
11867598,Chelsea vs Wolverhampton Wanderers,110.0,2nd_half,0.8444395234710291,AD_SAFE,neutral,0.388901191322427,0.1970281198032592,0.0,19,0,0
11867599,Crystal Palace vs Tottenham Hotspur,110.0,2nd_half,0.8420634518409598,AD_SAFE,neutral,0.39484137039760064,0.3038522667604787,0.0,58,0,0
11867600,Everton vs AFC Bournemouth,-30.0,pre_match,0.8737106800079346,AD_SAFE,neutral,0.3157232999801636,0.0263218451291322,0.0,1,0,0
11867600,Everton vs AFC Bournemouth,0.0,1st_half,0.8745132446289062,AD_SAFE,neutral,0.3137168884277344,0.0090961055830121,0.0,1,0,0
11867600,Everton vs AFC Bournemouth,20.0,1st_half,0.8606334611074999,AD_SAFE,neutral,0.34734872356057167,-0.0021352473413571993,0.0,8,0,0
11867600,Everton vs AFC Bournemouth,90.0,2nd_half,0.8702675879001618,AD_SAFE,neutral,0.3243310302495956,0.05767797154840077,0.0,4,0,0
11867604,Southampton vs Sheffield United,-25.0,pre_match,0.8741432547569274,AD_SAFE,neutral,0.3146418631076813,0.0034369977656751,0.0,1,0,0
11867604,Southampton vs Sheffield United,-15.0,pre_match,0.8734440207481384,AD_SAFE,neutral,0.3163899481296539,0.0061355321668088,0.0,1,0,0
11867604,Southampton vs Sheffield United,95.0,2nd_half,0.8740256071090698,AD_SAFE,neutral,0.3149359822273254,0.009522157488390751,0.0,2,0,0
11867604,Southampton vs Sheffield United,105.0,2nd_half,0.873035446802775,AD_SAFE,neutral,0.3174113829930623,0.005334263240608066,0.0,3,0,0
16924597,Crystal Palace vs Southampton,-25.0,pre_match,0.863432651758194,AD_SAFE,neutral,0.3414183706045151,0.0415077237412333,0.0,2,0,0
16924597,Crystal Palace vs Southampton,5.0,1st_half,0.8635829786459605,AD_SAFE,neutral,0.34104255338509876,0.007839753525331618,0.0,6,0,0
16924597,Crystal Palace vs Southampton,35.0,1st_half,0.8507082715630532,AD_SAFE,neutral,0.37322932109236717,0.06400557700544594,0.0,16,0,0
16924597,Crystal Palace vs Southampton,65.0,2nd_half,0.8501403498649598,AD_SAFE,neutral,0.37464912533760064,0.06732694589300078,0.0,20,0,0
16924601,West Bromwich Albion vs Leicester City,90.0,2nd_half,0.8265418953054091,AD_SAFE,neutral,0.4336452617364771,0.28342027025269895,0.0,85,0,0
16924601,West Bromwich Albion vs Leicester City,100.0,2nd_half,0.8355624658720834,AD_SAFE,neutral,0.41109383531979155,0.23414659615322067,0.0,91,0,0
16924601,West Bromwich Albion vs Leicester City,110.0,2nd_half,0.8149825987550947,AD_SAFE,neutral,0.46254350311226317,0.35590312414893155,0.0,90,0,0
16924603,Brighton & Hove Albion vs Chelsea,0.0,1st_half,0.8397199602354141,AD_SAFE,neutral,0.4007000994114649,0.19866972159416899,0.0,21,0,0
