fixture_id,window_5min,tweet_count,mean_arousal,mean_valence,joy,anger,sadness,dominant_emotion,mean_pressure,max_pressure,high_intensity_count,recent_high_intensity,period_label,match,kickoff_utc,home_team,away_team,derby,home_goals_final,away_goals_final
11867556,105,1,0.5198381543159485,0.0334161557257175,0.1078200936317443,0.040628932416439,0.037527784705162,optimism,0.0,0.0,0,0,2nd_half,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,AFC Bournemouth,Tottenham Hotspur,0,0,0
11867556,110,11,0.5609723600474271,0.5143339200453325,0.7042381993748925,0.06461997279389332,0.1392048002982681,joy,0.0,0.0,0,0,2nd_half,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:00:00+00:00,AFC Bournemouth,Tottenham Hotspur,0,0,0
11867561,90,1,0.241483062505722,-0.7580192685127258,0.045999351888895,0.0058671906590461,0.8868349194526672,sadness,1.0,1.0,0,0,2nd_half,Everton vs Southampton,2020-07-09 17:00:00+00:00,Everton,Southampton,0,1,1
11867561,95,2,0.3983495905995369,-0.4363038092851639,0.03282184712588785,0.0617311769165098,0.45266053639352316,sadness,0.0,0.0,0,0,2nd_half,Everton vs Southampton,2020-07-09 17:00:00+00:00,Everton,Southampton,0,1,1
11867561,100,5,0.4973417282104492,-0.23140294700860972,0.08097657263278958,0.11204468086361885,0.22259427532553672,optimism,0.0,0.0,0,0,2nd_half,Everton vs Southampton,2020-07-09 17:00:00+00:00,Everton,Southampton,0,1,1
11867561,105,1,0.6182985305786133,-0.2531178593635559,0.0627530440688133,0.260776162147522,0.0612163878977298,optimism,0.0,0.0,0,0,2nd_half,Everton vs Southampton,2020-07-09 17:00:00+00:00,Everton,Southampton,0,1,1
11867561,110,3,0.5415119131406149,-0.1093935072422027,0.1279156220455964,0.12938802192608514,0.11991234496235843,optimism,0.0,0.0,0,0,2nd_half,Everton vs Southampton,2020-07-09 17:00:00+00:00,Everton,Southampton,0,1,1
11867566,-30,1,0.6328113675117493,0.0081667862832546,0.2565975785255432,0.2279542088508606,0.02275175973773,optimism,0.0,0.0,0,0,pre_match,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,AFC Bournemouth,Leicester City,0,4,1
11867566,-25,1,0.6328113675117493,0.0081667862832546,0.2565975785255432,0.2279542088508606,0.02275175973773,optimism,0.0,0.0,0,0,pre_match,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,AFC Bournemouth,Leicester City,0,4,1
11867566,-20,1,0.6053053736686707,-0.2465311884880066,0.0231929793953895,0.2314729839563369,0.0425013303756713,optimism,0.0,0.0,0,0,pre_match,AFC Bournemouth vs Leicester City,2020-07-12 18:00:00+00:00,AFC Bournemouth,Leicester City,0,4,1
