fixture_id,match,kickoff_utc,gameweek,home_team,away_team,derby,row_type,effective_minute,minute,extra_minute,minute_label,event_category,event_type_name,event_type_code,participant_name,participant_location,player_name,related_player_name,info,period_label,pressure_value,is_high_intensity,home_goals_final,away_goals_final,whistle_type,whistle_utc,time_added_minutes,row_sequence_in_match
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,period,45.0,45.0,0.0,,period,period,,,,,,,2nd_half,0.0,False,0,3,,,,5
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,whistle,45.0,45.0,0.0,,,,,,,,,,,0.0,False,0,3,half_time,2020-07-09 20:00:00+00:00,,6
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,48.0,45.0,3.0,45+3,card,Yellowcard,yellowcard,Manchester United,away,Nemanja Matić,,Persistent fouling,,0.0,False,0,3,,,,7
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,50.0,45.0,5.0,45+5,goal,Goal,goal,Manchester United,away,Mason Greenwood ,Anthony Martial,,,0.0,True,0,3,,,,8
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,52.0,52.0,0.0,52,card,Yellowcard,yellowcard,Aston Villa,home,E. Konsa,,Foul,,0.0,False,0,3,,,,9
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,58.0,58.0,0.0,58,goal,Goal,goal,Manchester United,away,Paul Pogba ,Bruno Fernandes,,,0.0,True,0,3,,,,10
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,58.0,58.0,0.0,58,substitution,Substitution,substitution,Aston Villa,home,Conor Hourihane,Anwar El Ghazi,,,0.0,False,0,3,,,,11
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,59.0,59.0,0.0,59,substitution,Substitution,substitution,Aston Villa,home,Keinan Davis,Ally Samatta,,,0.0,False,0,3,,,,12
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,59.0,59.0,0.0,59,substitution,Substitution,substitution,Aston Villa,home,M. Nakamba,John McGinn,,,0.0,False,0,3,,,,13
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,66.0,66.0,0.0,66,substitution,Substitution,substitution,Manchester United,away,Scott McTominay,Nemanja Matić,,,0.0,False,0,3,,,,14
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,66.0,66.0,0.0,66,substitution,Substitution,substitution,Manchester United,away,Brandon Williams,Aaron Wan-Bissaka,,,0.0,False,0,3,,,,15
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,71.0,71.0,0.0,71,substitution,Substitution,substitution,Manchester United,away,Fred,Bruno Fernandes,,,0.0,False,0,3,,,,16
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,79.0,79.0,0.0,79,substitution,Substitution,substitution,Manchester United,away,Odion Ighalo,Anthony Martial,,,0.0,False,0,3,,,,17
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,79.0,79.0,0.0,79,substitution,Substitution,substitution,Manchester United,away,Daniel James,Mason Greenwood ,,,0.0,False,0,3,,,,18
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,81.0,81.0,0.0,81,card,Yellowcard,yellowcard,Aston Villa,home,M. Nakamba,,Foul,,0.0,False,0,3,,,,19
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,84.0,84.0,0.0,84,substitution,Substitution,substitution,Aston Villa,home,I. Vassilev,Douglas Luiz,,,0.0,False,0,3,,,,20
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,event,87.0,87.0,0.0,87,card,Yellowcard,yellowcard,Manchester United,away,Fred,,Foul,,0.0,False,0,3,,,,21
11867558,Aston Villa vs Manchester United,2020-07-09 19:15:00+00:00,1,Aston Villa,Manchester United,0,whistle,90.0,90.0,0.0,,,,,,,,,,,0.0,False,0,3,full_time,2020-07-09 21:00:00+00:00,,22
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,pre_match,0.0,,0.0,,,,,,,,,,,0.0,False,1,1,,,,1
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,period,0.0,0.0,0.0,,period,period,,,,,,,1st_half,0.0,False,1,1,,,0.0,2
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,14.0,14.0,0.0,14,card,Yellowcard,yellowcard,Southampton,away,Stuart Armstrong,,Foul,,0.0,False,1,1,,,,3
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,28.0,28.0,0.0,28,penalty,Missed Penalty,missed_penalty,Southampton,away,James Ward-Prowse,,Woodwork,,0.0,True,1,1,,,,4
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,31.0,31.0,0.0,31,goal,Goal,goal,Southampton,away,D. Ings,Stuart Armstrong,,,0.0,True,1,1,,,,5
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,34.0,34.0,0.0,34,card,Yellowcard,yellowcard,Southampton,away,J. Stephens,,Foul,,0.0,False,1,1,,,,6
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,42.0,42.0,0.0,42,substitution,Substitution,substitution,Everton,home,Dejan Joksimovic,André Gomes,,,0.0,False,1,1,,,,7
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,event,44.0,44.0,0.0,44,goal,Goal,goal,Everton,home,Richarlison,L. Digne,,,0.0,True,1,1,,,,8
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,period,45.0,45.0,0.0,,period,period,,,,,,,2nd_half,0.0,False,1,1,,,,9
